Step,GeneCountMin,GeneCountMax,GeneCountAvg,GeneCountSE,PopMin,PopMax,PopAvg,PopSE,SpeciesMin,SpeciesMax,SpeciesAvg,SpeciesSE,GeneCount1,Pop1,Species1,GeneCount2,Pop2,Species2,GeneCount3,Pop3,Species3,GeneCount4,Pop4,Species4,GeneCount5,Pop5,Species5,GeneCount6,Pop6,Species6,GeneCount7,Pop7,Species7,GeneCount8,Pop8,Species8,GeneCount9,Pop9,Species9,GeneCount10,Pop10,Species10
1,5,5,5,0.0282843,100,103,100.7,1.27538,95,100,97.5,0.47634,5,101,97,5,103,98,5,101,98,5,100,100,5,100,98,5,100,98,5,101,95,5,101,95,5,100,99,5,100,97
2,5,5,5,0.0282843,100,105,101.1,1.23394,95,100,97.5,0.47634,5,101,97,5,105,98,5,101,98,5,100,100,5,100,98,5,100,98,5,101,95,5,102,95,5,100,99,5,101,97
3,5,6,5.1,0.0938083,100,105,101.8,1.1039,95,100,97.7,0.398623,5,102,97,5,105,98,5,101,98,5,100,100,5,101,98,5,101,98,6,103,97,5,104,95,5,100,99,5,101,97
4,5,6,5.1,0.0938083,100,106,102.4,1.04048,95,100,97.7,0.398623,5,103,97,5,105,98,5,102,98,5,100,100,5,101,98,5,101,98,6,104,97,5,106,95,5,100,99,5,102,97
5,5,6,5.1,0.0938083,100,107,102.9,1.09023,95,100,97.7,0.398623,5,105,97,5,105,98,5,102,98,5,100,100,5,101,98,5,102,98,6,105,97,5,107,95,5,100,99,5,102,97
6,5,6,5.1,0.0938083,100,107,103.5,1.07266,95,100,97.7,0.398623,5,106,97,5,105,98,5,102,98,5,100,100,5,103,98,5,103,98,6,106,97,5,107,95,5,100,99,5,103,97
7,5,6,5.1,0.0938083,100,111,104.6,1.23313,95,100,97.7,0.398623,5,106,97,5,107,98,5,102,98,5,100,100,5,104,98,5,103,98,6,108,97,5,111,95,5,101,99,5,104,97
8,5,6,5.1,0.0938083,100,116,105.7,1.63786,95,100,97.7,0.398623,5,106,97,5,109,98,5,102,98,5,100,100,5,105,98,5,103,98,6,110,97,5,116,95,5,102,99,5,104,97
9,5,6,5.1,0.0938083,100,118,106.6,1.93044,95,100,97.7,0.398623,5,109,97,5,109,98,5,103,98,5,100,100,5,106,98,5,104,98,6,111,97,5,118,95,5,102,99,5,104,97
10,5,6,5.1,0.0938083,100,119,107.3,2.08293,94,100,97.6,0.472123,5,109,97,5,111,98,5,103,98,5,100,100,5,107,98,5,105,98,6,111,97,5,119,94,5,102,99,5,106,97
11,5,6,5.1,0.0938083,100,121,108,2.29534,92,100,96.9,0.728629,5,108,95,5,110,95,5,103,98,5,100,100,5,109,98,5,106,98,6,114,97,5,121,92,5,102,99,5,107,97
12,5,6,5.1,0.0938083,100,126,108.7,2.66394,91,100,96.8,0.887074,5,107,94,5,111,94,5,104,98,5,100,100,5,109,98,5,108,98,6,113,99,5,126,91,5,102,99,5,107,97
13,5,6,5.1,0.0938083,100,118,106.3,1.69369,80,100,93.9,2.17,5,106,91,5,105,89,5,104,98,5,100,100,5,109,97,5,107,97,6,107,92,5,118,80,5,102,99,5,105,96
14,5,6,5.1,0.0938083,96,105,101.8,1.23069,64,100,88,4.43925,5,104,86,5,96,78,5,102,94,5,100,100,5,105,90,5,105,95,6,101,85,5,103,64,5,103,99,5,99,89
15,5,6,5.1,0.0938083,81,101,92.5,4.10495,48,100,78.3,7.71316,5,91,72,5,84,66,5,96,87,5,100,100,5,95,79,5,98,87,6,81,67,5,89,48,5,101,97,5,90,80
16,5,6,5.1,0.0938083,52,100,74.1,10.1476,25,100,60.2,13.4655,5,71,54,5,65,48,5,78,70,5,100,100,5,73,56,5,72,61,6,52,40,5,67,25,5,88,84,5,75,64
17,5,6,5.1,0.0938083,0,45,15,28.2903,0,5,2.4,30.1244,5,19,3,5,19,2,5,8,2,5,0,0,5,18,2,5,12,2,6,17,5,5,45,5,5,3,1,5,9,2
18,5,6,5.1,0.0938083,0,49,16,28.0328,0,5,2.4,30.1244,5,19,3,5,22,2,5,7,2,5,0,0,5,19,2,5,12,2,6,20,5,5,49,5,5,3,1,5,9,2
19,5,6,5.1,0.0938083,0,50,16.6,27.8679,0,5,2.4,30.1244,5,18,3,5,26,2,5,8,2,5,0,0,5,19,2,5,12,2,6,21,5,5,50,5,5,3,1,5,9,2
20,5,6,5.1,0.0938083,0,55,17.8,27.5716,0,5,2.2,30.1866,5,20,3,5,29,2,5,9,2,5,0,0,5,22,2,5,12,2,6,19,3,5,55,5,5,3,1,5,9,2
21,5,6,5.1,0.0938083,0,61,19.7,27.0909,0,5,2.2,30.1866,5,22,3,5,33,2,5,9,2,5,0,0,5,26,2,5,12,2,6,21,3,5,61,5,5,4,1,5,9,2
22,5,6,5.1,0.0938083,0,65,21.3,26.6792,0,5,2.2,30.1866,5,25,3,5,37,2,5,8,2,5,0,0,5,28,2,5,13,2,6,21,3,5,65,5,5,4,1,5,12,2
23,5,6,5.1,0.0938083,0,72,22.3,26.5346,0,5,2.2,30.1866,5,26,3,5,42,2,5,8,2,5,0,0,5,27,2,5,12,2,6,20,3,5,72,5,5,3,1,5,13,2
24,5,6,5.1,0.0938083,0,76,22.9,26.4675,0,5,2.2,30.1866,5,27,3,5,45,2,5,8,2,5,0,0,5,28,2,5,13,2,6,17,3,5,76,5,5,2,1,5,13,2
25,5,6,5.1,0.0938083,0,75,23.1,26.3958,0,5,2.2,30.1866,5,29,3,5,45,2,5,8,2,5,0,0,5,29,2,5,13,2,6,17,3,5,75,5,5,2,1,5,13,2
26,5,6,5.1,0.0938083,0,82,25.1,25.974,0,5,2.2,30.1866,5,30,3,5,49,2,5,7,2,5,0,0,5,34,2,5,14,2,6,18,3,5,82,5,5,2,1,5,15,2
27,5,6,5.1,0.0938083,0,92,26.6,25.7449,0,5,2.2,30.1866,5,34,3,5,48,2,5,8,2,5,0,0,5,34,2,5,15,2,6,18,3,5,92,5,5,2,1,5,15,2
28,5,6,5.1,0.0938083,0,99,27.6,25.6501,0,5,2.2,30.1866,5,37,3,5,48,2,5,8,2,5,0,0,5,35,2,5,16,2,6,17,3,5,99,5,5,2,1,5,14,2
29,5,6,5.1,0.0938083,0,110,30.6,25.2088,0,5,2.2,30.1866,5,46,3,5,53,2,5,8,2,5,0,0,5,40,2,5,14,2,6,19,3,5,110,5,5,2,1,5,14,2
30,5,6,5.1,0.0938083,0,113,31.8,25.0168,0,5,2.2,30.1866,5,45,3,5,59,2,5,9,2,5,0,0,5,43,2,5,14,2,6,18,3,5,113,5,5,2,1,5,15,2
31,5,6,5.1,0.0938083,0,119,32.6,25.0269,0,5,2.1,30.2184,5,44,3,5,63,2,5,10,1,5,0,0,5,42,2,5,15,2,6,16,3,5,119,5,5,1,1,5,16,2
