Step,GeneCountMin,GeneCountMax,GeneCountAvg,GeneCountSE,PopMin,PopMax,PopAvg,PopSE,SpeciesMin,SpeciesMax,SpeciesAvg,SpeciesSE,GeneCount1,Pop1,Species1,GeneCount2,Pop2,Species2,GeneCount3,Pop3,Species3,GeneCount4,Pop4,Species4,GeneCount5,Pop5,Species5,GeneCount6,Pop6,Species6,GeneCount7,Pop7,Species7,GeneCount8,Pop8,Species8,GeneCount9,Pop9,Species9,GeneCount10,Pop10,Species10
1,5,5,5,0,100,101,100.1,0.510392,96,100,98.5,0.452769,5,100,98,5,100,99,5,100,100,5,100,100,5,100,100,5,100,99,5,100,96,5,101,96,5,100,99,5,100,98
2,5,5,5,0,100,101,100.2,0.447772,96,100,98.5,0.452769,5,100,98,5,100,99,5,100,100,5,100,100,5,100,100,5,100,99,5,100,96,5,101,96,5,100,99,5,101,98
3,5,5,5,0,100,103,100.5,0.465296,96,100,98.5,0.452769,5,101,98,5,100,99,5,100,100,5,100,100,5,100,100,5,100,99,5,100,96,5,103,96,5,100,99,5,101,98
4,5,5,5,0,100,105,100.8,0.531507,96,100,98.5,0.452769,5,101,98,5,100,99,5,100,100,5,100,100,5,100,100,5,100,99,5,101,96,5,105,96,5,100,99,5,101,98
5,5,5,5,0,100,106,101.1,0.618466,96,100,98.5,0.452769,5,102,98,5,100,99,5,100,100,5,100,100,5,100,100,5,100,99,5,102,96,5,106,96,5,100,99,5,101,98
6,5,5,5,0,100,107,101.3,0.703207,96,100,98.5,0.452769,5,102,98,5,100,99,5,100,100,5,100,100,5,100,100,5,100,99,5,103,96,5,107,96,5,100,99,5,101,98
7,5,5,5,0,100,108,101.6,0.783901,96,100,98.5,0.452769,5,103,98,5,100,99,5,100,100,5,100,100,5,100,100,5,100,99,5,103,96,5,108,96,5,101,99,5,101,98
8,5,5,5,0,100,109,101.8,0.85235,96,100,98.5,0.452769,5,103,98,5,100,99,5,100,100,5,100,100,5,100,100,5,100,99,5,103,96,5,109,96,5,102,99,5,101,98
9,5,5,5,0,100,112,102.6,1.21429,96,100,98.5,0.452769,5,104,98,5,100,99,5,100,100,5,100,100,5,100,100,5,101,99,5,106,96,5,112,96,5,102,99,5,101,98
10,5,5,5,0,100,114,103.5,1.49013,96,100,98.5,0.452769,5,105,98,5,101,99,5,100,100,5,100,100,5,100,100,5,103,99,5,108,96,5,114,96,5,102,99,5,102,98
11,5,5,5,0,100,117,104.1,1.87523,96,100,98.5,0.452769,5,105,98,5,101,99,5,100,100,5,100,100,5,100,100,5,103,99,5,111,96,5,117,96,5,102,99,5,102,98
12,5,5,5,0,100,115,104.3,1.80402,92,100,98,0.790569,5,107,98,5,102,99,5,100,100,5,100,100,5,100,100,5,104,99,5,111,95,5,115,92,5,102,99,5,102,98
13,5,5,5,0,100,111,103.3,1.29325,83,100,96.7,1.67481,5,104,95,5,101,99,5,100,100,5,100,100,5,100,100,5,104,99,5,109,94,5,111,83,5,102,99,5,102,98
14,5,5,5,0,99,109,102.6,1.09293,76,100,95.4,2.4259,5,105,94,5,101,99,5,100,100,5,100,100,5,100,100,5,104,99,5,109,92,5,105,76,5,103,99,5,99,95
15,5,5,5,0,93,103,98.9,1.28238,61,100,91.4,4.37321,5,97,85,5,101,99,5,100,100,5,100,100,5,100,100,5,103,98,5,98,82,5,93,61,5,101,97,5,96,92
16,5,5,5,0,65,100,86.8,6.08872,33,100,79.8,8.83431,5,80,69,5,95,93,5,100,100,5,100,100,5,100,100,5,84,79,5,67,56,5,65,33,5,88,84,5,89,84
17,5,5,5,0,0,33,7.1,29.9604,0,4,1.4,30.709,5,11,2,5,1,1,5,0,0,5,0,0,5,0,0,5,5,1,5,14,4,5,33,4,5,3,1,5,4,1
18,5,5,5,0,0,35,7.5,29.8578,0,4,1.4,30.709,5,12,2,5,1,1,5,0,0,5,0,0,5,0,0,5,6,1,5,15,4,5,35,4,5,3,1,5,3,1
19,5,5,5,0,0,38,7.8,29.7921,0,4,1.4,30.709,5,12,2,5,1,1,5,0,0,5,0,0,5,0,0,5,6,1,5,15,4,5,38,4,5,3,1,5,3,1
20,5,5,5,0,0,40,8.2,29.6923,0,4,1.4,30.709,5,12,2,5,1,1,5,0,0,5,0,0,5,0,0,5,6,1,5,17,4,5,40,4,5,3,1,5,3,1
21,5,5,5,0,0,39,8.2,29.6838,0,4,1.4,30.709,5,13,2,5,1,1,5,0,0,5,0,0,5,0,0,5,6,1,5,17,4,5,39,4,5,3,1,5,3,1
22,5,5,5,0,0,41,8.6,29.5808,0,4,1.4,30.709,5,14,2,5,1,1,5,0,0,5,0,0,5,0,0,5,7,1,5,17,4,5,41,4,5,3,1,5,3,1
23,5,5,5,0,0,41,8.7,29.554,0,4,1.4,30.709,5,15,2,5,1,1,5,0,0,5,0,0,5,0,0,5,8,1,5,17,4,5,41,4,5,2,1,5,3,1
24,5,5,5,0,0,44,8.9,29.5254,0,4,1.4,30.709,5,15,2,5,1,1,5,0,0,5,0,0,5,0,0,5,9,1,5,16,4,5,44,4,5,1,1,5,3,1
25,5,5,5,0,0,44,9.3,29.4083,0,4,1.4,30.709,5,17,2,5,1,1,5,0,0,5,0,0,5,0,0,5,10,1,5,17,4,5,44,4,5,1,1,5,3,1
26,5,5,5,0,0,45,9.5,29.3631,0,4,1.4,30.709,5,17,2,5,1,1,5,0,0,5,0,0,5,0,0,5,9,1,5,19,4,5,45,4,5,1,1,5,3,1
27,5,5,5,0,0,52,9.9,29.3299,0,4,1.3,30.7409,5,17,2,5,0,0,5,0,0,5,0,0,5,0,0,5,8,1,5,18,4,5,52,4,5,1,1,5,3,1
