Step,GeneCountMin,GeneCountMax,GeneCountAvg,GeneCountSE,PopMin,PopMax,PopAvg,PopSE,SpeciesMin,SpeciesMax,SpeciesAvg,SpeciesSE,GeneCount1,Pop1,Species1,GeneCount2,Pop2,Species2,GeneCount3,Pop3,Species3,GeneCount4,Pop4,Species4,GeneCount5,Pop5,Species5,GeneCount6,Pop6,Species6,GeneCount7,Pop7,Species7,GeneCount8,Pop8,Species8,GeneCount9,Pop9,Species9,GeneCount10,Pop10,Species10
1,5,5,5,0,100,101,100.2,0.63111,96,100,98.5,0.451774,5,101,98,5,100,99,5,100,100,5,100,100,5,100,100,5,100,99,5,100,96,5,101,96,5,100,99,5,100,98
2,5,5,5,0,100,102,100.5,0.576455,96,100,98.5,0.451774,5,102,98,5,100,99,5,100,100,5,100,100,5,100,100,5,100,99,5,100,96,5,102,96,5,100,99,5,101,98
3,5,5,5,0,100,103,100.6,0.574717,96,100,98.5,0.451774,5,102,98,5,100,99,5,100,100,5,100,100,5,100,100,5,100,99,5,100,96,5,103,96,5,100,99,5,101,98
4,5,5,5,0,100,104,100.9,0.603573,96,100,98.5,0.451774,5,103,98,5,100,99,5,100,100,5,100,100,5,100,100,5,100,99,5,101,96,5,104,96,5,100,99,5,101,98
5,5,5,5,0,100,106,101.3,0.782496,96,100,98.5,0.451774,5,105,98,5,100,99,5,100,100,5,100,100,5,100,100,5,100,99,5,101,96,5,106,96,5,100,99,5,101,98
6,5,5,5,0,100,106,101.4,0.77608,96,100,98.5,0.451774,5,105,98,5,100,99,5,100,100,5,100,100,5,100,100,5,100,99,5,102,96,5,106,96,5,100,99,5,101,98
7,5,5,5,0,100,108,102,0.806412,96,100,98.5,0.451774,5,105,98,5,100,99,5,100,100,5,100,100,5,100,100,5,100,99,5,103,96,5,108,96,5,101,99,5,103,98
8,5,5,5,0,100,108,102.6,1.03455,96,100,98.5,0.451774,5,108,98,5,100,99,5,100,100,5,100,100,5,100,100,5,100,99,5,106,96,5,107,96,5,101,99,5,104,98
9,5,5,5,0,100,110,103.4,1.2784,96,100,98.5,0.451774,5,109,98,5,100,99,5,100,100,5,100,100,5,100,100,5,101,99,5,107,96,5,110,96,5,102,99,5,105,98
10,5,5,5,0,100,110,104,1.38286,96,100,98.4,0.473392,5,108,97,5,101,99,5,100,100,5,100,100,5,100,100,5,103,99,5,110,96,5,110,96,5,102,99,5,106,98
11,5,5,5,0,100,111,104.3,1.51337,95,100,98.3,0.53301,5,108,97,5,101,99,5,100,100,5,100,100,5,100,100,5,103,99,5,111,96,5,111,95,5,102,99,5,107,98
12,5,5,5,0,100,114,104.9,1.82107,94,100,98,0.681249,5,108,95,5,102,99,5,100,100,5,100,100,5,100,100,5,103,99,5,114,96,5,113,94,5,102,99,5,107,98
13,5,5,5,0,100,115,104.4,1.59697,91,100,97.2,1.1507,5,104,91,5,102,99,5,100,100,5,100,100,5,100,100,5,103,99,5,115,95,5,110,91,5,103,99,5,107,98
14,5,5,5,0,98,112,102.1,1.09741,80,100,94.6,2.52113,5,98,84,5,102,99,5,100,100,5,100,100,5,100,100,5,103,99,5,112,91,5,100,80,5,103,99,5,103,94
15,5,5,5,0,82,103,97.6,2.52711,60,100,89.7,5.04164,5,89,74,5,102,99,5,100,100,5,100,100,5,100,100,5,103,99,5,102,82,5,82,60,5,103,98,5,95,85
16,5,5,5,0,53,100,82.1,8.08977,38,100,74.6,10.5098,5,69,53,5,92,89,5,100,100,5,100,100,5,100,100,5,84,81,5,53,38,5,62,40,5,86,81,5,75,64
17,5,5,5,0,0,21,7.7,29.8254,0,3,1.4,30.7046,5,15,2,5,2,2,5,0,0,5,0,0,5,0,0,5,3,1,5,21,3,5,21,3,5,4,1,5,11,2
18,5,5,5,0,0,23,8.3,29.6515,0,4,1.5,30.6736,5,16,2,5,2,2,5,0,0,5,0,0,5,0,0,5,3,1,5,23,3,5,22,4,5,5,1,5,12,2
19,5,5,5,0,0,25,9,29.455,0,4,1.5,30.6736,5,17,2,5,2,2,5,0,0,5,0,0,5,0,0,5,3,1,5,25,3,5,24,4,5,5,1,5,14,2
20,5,5,5,0,0,26,9.2,29.3985,0,4,1.5,30.6736,5,14,2,5,2,2,5,0,0,5,0,0,5,0,0,5,3,1,5,26,3,5,25,4,5,5,1,5,17,2
21,5,5,5,0,0,28,9.7,29.2673,0,3,1.4,30.7046,5,16,2,5,2,2,5,0,0,5,0,0,5,0,0,5,3,1,5,28,3,5,26,3,5,4,1,5,18,2
22,5,5,5,0,0,28,10.4,29.0583,0,3,1.4,30.7046,5,18,2,5,2,2,5,0,0,5,0,0,5,0,0,5,4,1,5,28,3,5,27,3,5,5,1,5,20,2
23,5,5,5,0,0,33,11.2,28.8585,0,3,1.4,30.7046,5,19,2,5,2,2,5,0,0,5,0,0,5,0,0,5,4,1,5,30,3,5,33,3,5,5,1,5,19,2
24,5,5,5,0,0,33,11.8,28.6808,0,3,1.4,30.7046,5,21,2,5,2,2,5,0,0,5,0,0,5,0,0,5,5,1,5,31,3,5,33,3,5,6,1,5,20,2
25,5,5,5,0,0,36,12.2,28.5699,0,3,1.4,30.7046,5,20,2,5,2,2,5,0,0,5,0,0,5,0,0,5,5,1,5,31,3,5,36,3,5,8,1,5,20,2
26,5,5,5,0,0,41,13,28.3803,0,3,1.4,30.7046,5,21,2,5,2,2,5,0,0,5,0,0,5,0,0,5,4,1,5,32,3,5,41,3,5,8,1,5,22,2
27,5,5,5,0,0,45,13.4,28.3166,0,3,1.3,30.7362,5,23,2,5,1,1,5,0,0,5,0,0,5,0,0,5,2,1,5,32,3,5,45,3,5,8,1,5,23,2
28,5,5,5,0,0,49,14.8,27.973,0,3,1.3,30.7362,5,27,2,5,1,1,5,0,0,5,0,0,5,0,0,5,2,1,5,35,3,5,49,3,5,8,1,5,26,2
29,5,5,5,0,0,53,15.9,27.7197,0,3,1.2,30.768,5,28,2,5,0,0,5,0,0,5,0,0,5,0,0,5,2,1,5,39,3,5,53,3,5,10,1,5,27,2
30,5,5,5,0,0,62,17.3,27.4464,0,3,1.2,30.768,5,30,2,5,0,0,5,0,0,5,0,0,5,0,0,5,3,1,5,41,3,5,62,3,5,9,1,5,28,2
31,5,5,5,0,0,63,18.1,27.2523,0,3,1.2,30.768,5,34,2,5,0,0,5,0,0,5,0,0,5,0,0,5,4,1,5,43,3,5,63,3,5,9,1,5,28,2
32,5,5,5,0,0,67,19,27.0815,0,3,1.2,30.768,5,35,2,5,0,0,5,0,0,5,0,0,5,0,0,5,4,1,5,46,3,5,67,3,5,9,1,5,29,2
33,5,5,5,0,0,73,20.4,26.8405,0,3,1.2,30.768,5,38,2,5,0,0,5,0,0,5,0,0,5,0,0,5,5,1,5,52,3,5,73,3,5,9,1,5,27,2
34,5,5,5,0,0,80,22,26.5162,0,3,1.2,30.768,5,43,2,5,0,0,5,0,0,5,0,0,5,0,0,5,6,1,5,51,3,5,80,3,5,11,1,5,29,2
35,5,5,5,0,0,86,23.5,26.2938,0,3,1.2,30.768,5,48,2,5,0,0,5,0,0,5,0,0,5,0,0,5,6,1,5,55,3,5,86,3,5,11,1,5,29,2
36,5,5,5,0,0,90,24.2,26.1893,0,3,1.2,30.768,5,48,2,5,0,0,5,0,0,5,0,0,5,0,0,5,7,1,5,56,3,5,90,3,5,11,1,5,30,2
37,5,5,5,0,0,93,24.9,26.1216,0,3,1.2,30.768,5,50,2,5,0,0,5,0,0,5,0,0,5,0,0,5,7,1,5,60,3,5,93,3,5,12,1,5,27,2
38,5,5,5,0,0,99,26.8,25.8573,0,3,1.2,30.768,5,54,2,5,0,0,5,0,0,5,0,0,5,0,0,5,8,1,5,67,3,5,99,3,5,13,1,5,27,2
39,5,5,5,0,0,107,28.1,25.8366,0,3,1.2,30.768,5,59,2,5,0,0,5,0,0,5,0,0,5,0,0,5,7,1,5,70,3,5,107,3,5,12,1,5,26,2
40,5,5,5,0,0,108,29.3,25.6119,0,3,1.2,30.768,5,63,2,5,0,0,5,0,0,5,0,0,5,0,0,5,7,1,5,73,3,5,108,3,5,14,1,5,28,2
41,5,5,5,0,0,123,31.7,25.6456,0,3,1.2,30.768,5,70,2,5,0,0,5,0,0,5,0,0,5,0,0,5,6,1,5,78,3,5,123,3,5,13,1,5,27,2
42,5,5,5,0,0,128,33.9,25.5089,0,3,1.2,30.768,5,75,2,5,0,0,5,0,0,5,0,0,5,0,0,5,6,1,5,88,3,5,128,3,5,12,1,5,30,2
43,5,5,5,0,0,129,34.7,25.4632,0,3,1.2,30.768,5,80,2,5,0,0,5,0,0,5,0,0,5,0,0,5,7,1,5,90,3,5,129,3,5,11,1,5,30,2
44,5,5,5,0,0,135,37.1,25.3796,0,3,1.2,30.768,5,90,2,5,0,0,5,0,0,5,0,0,5,0,0,5,7,1,5,96,3,5,135,3,5,13,1,5,30,2
45,5,5,5,0,0,142,39.6,25.3708,0,3,1.2,30.768,5,100,2,5,0,0,5,0,0,5,0,0,5,0,0,5,7,1,5,102,3,5,142,3,5,17,1,5,28,2
46,5,5,5,0,0,147,41.3,25.4974,0,3,1.2,30.768,5,108,2,5,0,0,5,0,0,5,0,0,5,0,0,5,8,1,5,107,3,5,147,3,5,16,1,5,27,2
47,5,5,5,0,0,160,44.5,25.7702,0,3,1.2,30.768,5,117,2,5,0,0,5,0,0,5,0,0,5,0,0,5,7,1,5,115,3,5,160,3,5,17,1,5,29,2
48,5,5,5,0,0,174,47.8,26.3061,0,3,1.2,30.768,5,123,2,5,0,0,5,0,0,5,0,0,5,0,0,5,6,1,5,129,3,5,174,3,5,17,1,5,29,2
49,5,5,5,0,0,191,51.7,26.9077,0,3,1.2,30.768,5,131,2,5,0,0,5,0,0,5,0,0,5,0,0,5,6,1,5,139,3,5,191,3,5,17,1,5,33,2
50,5,5,5,0,0,205,54.6,27.5142,0,3,1.2,30.768,5,138,2,5,0,0,5,0,0,5,0,0,5,0,0,5,7,1,5,145,3,5,205,3,5,17,1,5,34,2
51,5,5,5,0,0,218,58.8,28.4227,0,3,1.2,30.768,5,152,2,5,0,0,5,0,0,5,0,0,5,0,0,5,6,1,5,158,3,5,218,3,5,19,1,5,35,2
52,5,5,5,0,0,238,62.3,29.3685,0,3,1.2,30.768,5,153,2,5,0,0,5,0,0,5,0,0,5,0,0,5,8,1,5,167,3,5,238,3,5,18,1,5,39,2
53,5,5,5,0,0,254,66.6,30.4344,0,3,1.2,30.768,5,166,2,5,0,0,5,0,0,5,0,0,5,0,0,5,7,1,5,175,3,5,254,3,5,22,1,5,42,2
54,5,5,5,0,0,276,72.4,32.1777,0,3,1.2,30.768,5,187,2,5,0,0,5,0,0,5,0,0,5,0,0,5,8,1,5,184,3,5,276,3,5,23,1,5,46,2
55,5,5,5,0,0,296,75.8,33.515,0,3,1.2,30.768,5,193,2,5,0,0,5,0,0,5,0,0,5,0,0,5,8,1,5,189,3,5,296,3,5,26,1,5,46,2
56,5,5,5,0,0,280,78.9,33.7478,0,3,1.2,30.768,5,213,2,5,0,0,5,0,0,5,0,0,5,0,0,5,8,1,5,210,3,5,280,3,5,27,1,5,51,2
57,5,5,5,0,0,246,78.3,32.931,0,3,1.2,30.768,5,223,2,5,0,0,5,0,0,5,0,0,5,0,0,5,8,1,5,225,3,5,246,3,5,28,1,5,53,2
58,5,5,5,0,0,239,76.5,32.1678,0,3,1.2,30.768,5,239,2,5,0,0,5,0,0,5,0,0,5,0,0,5,8,1,5,235,3,5,199,3,5,31,1,5,53,2
59,5,5,5,0,0,264,77.2,32.9316,0,3,1.2,30.768,5,264,2,5,0,0,5,0,0,5,0,0,5,0,0,5,9,1,5,247,3,5,165,3,5,32,1,5,55,2
60,5,5,5,0,0,284,77.7,34.3147,0,3,1.2,30.768,5,284,2,5,0,0,5,0,0,5,0,0,5,0,0,5,9,1,5,268,3,5,123,3,5,35,1,5,58,2
61,5,5,5,0,0,302,80.3,35.9294,0,3,1.2,30.768,5,302,2,5,0,0,5,0,0,5,0,0,5,0,0,5,12,1,5,285,3,5,106,3,5,38,1,5,60,2
62,5,5,5,0,0,308,82.8,36.9719,0,3,1.2,30.768,5,308,2,5,0,0,5,0,0,5,0,0,5,0,0,5,14,1,5,299,3,5,109,3,5,35,1,5,63,2
63,5,5,5,0,0,333,85.9,38.4619,0,3,1.2,30.768,5,333,2,5,0,0,5,0,0,5,0,0,5,0,0,5,16,1,5,302,3,5,101,3,5,34,1,5,73,2
64,5,5,5,0,0,349,85.7,38.3952,0,3,1.2,30.768,5,349,2,5,0,0,5,0,0,5,0,0,5,0,0,5,18,1,5,282,3,5,95,3,5,34,1,5,79,2
65,5,5,5,0,0,335,81.9,35.8206,0,3,1.2,30.768,5,335,2,5,0,0,5,0,0,5,0,0,5,0,0,5,18,1,5,246,3,5,95,3,5,36,1,5,89,2
66,5,5,5,0,0,283,73.1,30.3861,0,3,1.2,30.768,5,283,2,5,0,0,5,0,0,5,0,0,5,0,0,5,19,1,5,190,3,5,100,3,5,43,1,5,96,2
