counter,population,msec
dfs_random,1,0.029442
dfs_random,2,0.045062
dfs_random,4,0.062652
dfs_random,8,0.114152
dfs_random,16,0.312613
dfs_random,32,1.553382
dfs_random,64,7.616518
dfs_random,128,18.382145
dfs_random,256,84.029607
dfs_random,512,249.678165
dfs_random,1024,943.624387
dfs_random,2048,3818.57143
dfs_random,4096,15835.788136
dfs_random,8192,67127.617339
dfs_random,16384,314836.765018
dfs_single,1,0.085268
dfs_single,2,0.076379
dfs_single,4,0.12947
dfs_single,8,0.475054
dfs_single,16,0.515356
dfs_single,32,2.406733
dfs_single,64,9.701504
dfs_single,128,54.015112
dfs_single,256,125.500961
dfs_single,512,507.915172
dfs_single,1024,2149.410165
dfs_single,2048,11434.152485
dfs_single,4096,51011.725946
dfs_single,8192,264985.511387
ds_random,1,0.159482
ds_random,2,0.069511
ds_random,4,0.073623
ds_random,8,0.176362
ds_random,16,0.380649
ds_random,32,1.919331
ds_random,64,6.628155
ds_random,128,34.40777
ds_random,256,89.109929
ds_random,512,291.33114
ds_random,1024,1017.104684
ds_random,2048,4136.530004
ds_random,4096,17430.297668
ds_random,8192,72441.621427
ds_random,16384,309103.392566
ds_single,1,0.149017
ds_single,2,0.125489
ds_single,4,0.144264
ds_single,8,0.411027
ds_single,16,1.062384
ds_single,32,3.701646
ds_single,64,12.966745
ds_single,128,40.393331
ds_single,256,153.27811
ds_single,512,624.817897
ds_single,1024,2538.991192
ds_single,2048,13492.974743
ds_single,4096,68339.225291
ds_single,8192,316147.673224
ds_single,16384,1687755.580543
