m_init,n_init,p_encounter,p_change,p_crossing,p_mutation,v_min,v_max,v_mutation,v_stretch,m_const,m_limit,m_slope,e_increase,e_consumption,e_intake,e_discount,step,minimum_entity_count,average_entity_count,maximum_entity_count,entity_count_sd,entity_count_error,minimum_gene_count,average_gene_count,maximum_gene_count,gene_count_sd,gene_count_error,minimum_species_count,average_species_count,maximum_species_count,species_count_sd,species_count_error,run_0_entity_count,run_0_gene_count,run_0_species_count,run_1_entity_count,run_1_gene_count,run_1_species_count,run_2_entity_count,run_2_gene_count,run_2_species_count,run_3_entity_count,run_3_gene_count,run_3_species_count,run_4_entity_count,run_4_gene_count,run_4_species_count,run_5_entity_count,run_5_gene_count,run_5_species_count,run_6_entity_count,run_6_gene_count,run_6_species_count,run_7_entity_count,run_7_gene_count,run_7_species_count,run_8_entity_count,run_8_gene_count,run_8_species_count,run_9_entity_count,run_9_gene_count,run_9_species_count
100,5,0.1,0,0.2,0.1,0,100,2,0,1,15,0,1000,5,10,0.9,0,100,100.6,103,0.966092,0.305505,5,5,5,0,0,97,98.4,100,1.07497,0.339935,100,5,98,100,5,99,101,5,97,100,5,99,100,5,99,100,5,99,101,5,99,103,5,97,100,5,100,101,5,97
100,5,0.1,0,0.2,0.1,0,100,2,0,1,15,0,1000,5,10,0.9,1,100,100.9,102,0.994429,0.314466,5,5,5,0,0,95,98,100,1.69967,0.537484,100,5,98,102,5,99,100,5,96,102,5,99,101,5,99,100,5,99,102,5,99,102,5,95,100,5,100,100,5,96
100,5,0.1,0,0.2,0.1,0,100,2,0,1,15,0,1000,5,10,0.9,2,100,101.6,104,1.26491,0.4,5,5,5,0,0,95,98,100,1.69967,0.537484,100,5,98,102,5,99,101,5,96,102,5,99,101,5,99,101,5,99,102,5,99,103,5,95,100,5,100,104,5,96
100,5,0.1,0,0.2,0.1,0,100,2,0,1,15,0,1000,5,10,0.9,3,100,102.3,107,2.05751,0.650641,5,5,5,0,0,95,98,100,1.69967,0.537484,100,5,98,102,5,99,103,5,96,103,5,99,101,5,99,101,5,99,103,5,99,103,5,95,100,5,100,107,5,96
100,5,0.1,0,0.2,0.1,0,100,2,0,1,15,0,1000,5,10,0.9,4,100,102.7,108,2.35938,0.746101,5,5,5,0,0,95,98,100,1.69967,0.537484,100,5,98,102,5,99,104,5,96,103,5,99,102,5,99,101,5,99,103,5,99,104,5,95,100,5,100,108,5,96
100,5,0.1,0,0.2,0.1,0,100,2,0,1,15,0,1000,5,10,0.9,5,100,103.1,108,2.37814,0.752034,5,5,5,0,0,95,98,100,1.69967,0.537484,100,5,98,102,5,99,104,5,96,103,5,99,104,5,99,102,5,99,103,5,99,105,5,95,100,5,100,108,5,96
100,5,0.1,0,0.2,0.1,0,100,2,0,1,15,0,1000,5,10,0.9,6,100,104.3,113,3.653,1.15518,5,5,5,0,0,95,98,100,1.69967,0.537484,101,5,98,104,5,99,104,5,96,104,5,99,105,5,99,102,5,99,103,5,99,107,5,95,100,5,100,113,5,96
100,5,0.1,0,0.2,0.1,0,100,2,0,1,15,0,1000,5,10,0.9,7,100,105.3,118,5.16505,1.63333,5,5,5,0,0,94,97.9,100,1.91195,0.604612,101,5,98,105,5,99,106,5,96,104,5,99,105,5,99,102,5,99,103,5,99,109,5,94,100,5,100,118,5,96
100,5,0.1,0,0.2,0.1,0,100,2,0,1,15,0,1000,5,10,0.9,8,100,105.2,116,4.58984,1.45144,5,5,5,0,0,92,97.2,100,2.82056,0.891939,101,5,98,106,5,99,107,5,95,104,5,98,105,5,99,102,5,99,103,5,99,108,5,92,100,5,100,116,5,93
100,5,0.1,0,0.2,0.1,0,100,2,0,1,15,0,1000,5,10,0.9,9,100,105.5,111,3.74907,1.18556,5,5,5,0,0,88,96.2,100,4.15799,1.31487,101,5,98,107,5,99,107,5,94,105,5,97,108,5,99,102,5,99,104,5,98,111,5,90,100,5,100,110,5,88
