counter,size,nanoseconds,species
DisjointSetsSingle,1,11281,1
DisjointSetsSingle,2,2490,1
DisjointSetsSingle,4,4294,1
DisjointSetsSingle,8,14118,1
DisjointSetsSingle,16,52895,1
DisjointSetsSingle,32,210425,1
DisjointSetsSingle,64,797096,1
DisjointSetsSingle,128,1697118,1
DisjointSetsSingle,256,5497262,1
DisjointSetsSingle,512,16076938,1
DisjointSetsSingle,1024,74739274,1
DisjointSetsSingle,2048,209677790,1
DisjointSetsSingle,4096,865660819,1
DisjointSetsSingle,8192,3363008481,1
DisjointSetsSingle,16384,13452731499,1
DisjointSetsSingle,32768,54062231541,1
DisjointSetsMany,1,7301,1
DisjointSetsMany,2,1019,2
DisjointSetsMany,4,1297,4
DisjointSetsMany,8,3356,8
DisjointSetsMany,16,9399,16
DisjointSetsMany,32,32945,32
DisjointSetsMany,64,135675,64
DisjointSetsMany,128,497668,128
DisjointSetsMany,256,2007598,256
DisjointSetsMany,512,7811629,512
DisjointSetsMany,1024,36952114,1024
DisjointSetsMany,2048,135482580,2048
DisjointSetsMany,4096,507872137,4096
DisjointSetsMany,8192,2010296557,8192
DisjointSetsMany,16384,8072725867,16384
DisjointSetsMany,32768,32255816863,32768
DepthFirstSearchSingle,1,15769,1
DepthFirstSearchSingle,2,3130,1
DepthFirstSearchSingle,4,3827,1
DepthFirstSearchSingle,8,6828,1
DepthFirstSearchSingle,16,16797,1
DepthFirstSearchSingle,32,44702,1
DepthFirstSearchSingle,64,125259,1
DepthFirstSearchSingle,128,361220,1
DepthFirstSearchSingle,256,1311349,1
DepthFirstSearchSingle,512,6313024,1
DepthFirstSearchSingle,1024,19770350,1
DepthFirstSearchSingle,2048,76885524,1
DepthFirstSearchSingle,4096,292634695,1
DepthFirstSearchSingle,8192,1179882852,1
DepthFirstSearchSingle,16384,4841187833,1
DepthFirstSearchSingle,32768,19384104317,1
DepthFirstSearchMany,1,19365,1
DepthFirstSearchMany,2,33993,2
DepthFirstSearchMany,4,10828,4
DepthFirstSearchMany,8,40745,8
DepthFirstSearchMany,16,90916,16
DepthFirstSearchMany,32,357055,32
DepthFirstSearchMany,64,1490678,64
DepthFirstSearchMany,128,5339773,128
DepthFirstSearchMany,256,21963915,256
DepthFirstSearchMany,512,94405106,512
DepthFirstSearchMany,1024,343432964,1024
DepthFirstSearchMany,2048,1384496010,2048
DepthFirstSearchMany,4096,5383733293,4096
DepthFirstSearchMany,8192,21349236769,8192
DepthFirstSearchMany,16384,86433072518,16384
DepthFirstSearchMany,32768,346449730970,32768
